school_name,address,city,school_district,telephone,students,classroom_teachers,free_lunch_students,reduce_price_lunch
Accelerated Achievement Academy School,"1151 Buena Vista Rd.Hollister, CA 95023","Hollister, CA 95023",Hollister,(831) 636-4460(make sure to verify first before calling),97,139,No,57
Accelerated Achievement Academy School,"1151 Buena Vista Rd.Hollister, CA 95023","Hollister, CA 95023",Hollister,(831) 636-4460(make sure to verify first before calling),97,139,No,57
Accelerated Charter Elementary School,"3914 S. Main St.Los Angeles, CA 90011","Los Angeles, CA 90011",Los Angeles Unified,(323) 846-6694(make sure to verify first before calling),33,302,No,264
Accelerated Charter High School,"4136 N. Mooney Blvd.Tulare, CA 93274",http://www.tulare.k12.ca.us,Tulare Joint Union High,(559) 688-2021(make sure to verify first before calling),Tulare Joint Union High,Yes,,
Access County Community School,"200 Kalmus Dr.Costa Mesa, CA 92628","Costa Mesa, CA 92628",Orange County Department of Education,(714) 245-6403(make sure to verify first before calling),15,"2,576",No,"1,941"
Access Juvenile Hall School,"1715 E. Wilshire Ave. Ste. 702Santa Ana, CA 92705","Santa Ana, CA 92705",Orange County Department of Education,(714) 647-2593(make sure to verify first before calling),14,405,No,288
Achieve Academy School,"1700 28th Ave.Oakland, CA 94621","Oakland, CA 94621",Oakland Unified,(510) 904-6440(make sure to verify first before calling),17,746,"Yes, under Provision 2",649
Achieve Charter Of Paradise Inc. School,"771 Elliott RdParadise, CA 95969","Paradise, CA 95969",Paradise Unified,(530) 872-4100(make sure to verify first before calling),65,233,No,68
Ada Clegg Elementary School,"6311 Larchwood Dr.Huntington Beach, CA 92647","Huntington Beach, CA 92647",Westminster,(714) 894-7218(make sure to verify first before calling),562,24.0,202,62
Ada Givens Elementary School,"2900 Green St.Merced, CA 95340","Merced, CA 95340",Merced City Elementary,(209) 385-6610(make sure to verify first before calling),482,23.0,374,31
Ada S. Nelson Elementary School,"8140 S. Vicki Dr.Whittier, CA 90606","Whittier, CA 90606",Los Nietos,(562) 692-0615(make sure to verify first before calling),43,429,"Yes, under Provision 2",338
Ada W. Harris Elementary School,"1508 Windsor Rd.Cardiff-by-the-Sea, CA 92007",Flora Vista Elementary,Cardiff Elementary,(760) 632-5894(make sure to verify first before calling),353,17.0,44,5
Adaline E. Kent Middle School,"800 College Ave.Kentfield, CA 94904","Kentfield, CA 94904",Kentfield Elementary,(415) 458-5970(make sure to verify first before calling),573,34.2,17,8
Adam (William Laird) Elementary School,"500 W. WindsorSanta Maria, CA 93458","Santa Maria, CA 93458",Santa Maria-Bonita,(805) 361-6700(make sure to verify first before calling),"1,036",38.0,905,83
Adams (J. Douglas) Middle School,"401 American Ave.Brentwood, CA 94513","Brentwood, CA 94513",Brentwood Union Elementary,(925) 513-6480(make sure to verify first before calling),87,"1,167",No,179
Adams Elementary School,"2850 Club House Rd.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 424-7935(make sure to verify first before calling),44,423,"Yes, under Provision 2",306
Adams Elementary School,"2850 Club House Rd.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 424-7935(make sure to verify first before calling),44,423,"Yes, under Provision 2",306
Adams Elementary School,"2850 Club House Rd.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 424-7935(make sure to verify first before calling),44,423,"Yes, under Provision 2",306
Adams Elementary School,"2850 Club House Rd.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 424-7935(make sure to verify first before calling),44,423,"Yes, under Provision 2",306
Adams Elementary School,"2850 Club House Rd.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 424-7935(make sure to verify first before calling),44,423,"Yes, under Provision 2",306
Adams Elementary School,"2850 Club House Rd.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 424-7935(make sure to verify first before calling),44,423,"Yes, under Provision 2",306
Adams Middle School,"2600 Ripley Ave.Redondo Beach, CA 90278","Redondo Beach, CA 90278",Redondo Beach Unified,(310) 798-8636(make sure to verify first before calling),85,994,No,193
Addams Elementary School,"2117 W. McKinley Ave.Fresno, CA 93728","Fresno, CA 93728",Fresno Unified,(559) 457-2510(make sure to verify first before calling),824,33.0,628,173
Addams Elementary School,"2117 W. McKinley Ave.Fresno, CA 93728","Fresno, CA 93728",Fresno Unified,(559) 457-2510(make sure to verify first before calling),824,33.0,628,173
Addison Elementary School,"650 Addison Ave.Palo Alto, CA 94301","Palo Alto, CA 94301",Palo Alto Unified,(650) 322-5935(make sure to verify first before calling),475,22.4,44,8
Adelante Charter School,"1102 E. Yanonali St.Santa Barbara, CA 93103","Santa Barbara, CA 93103",Santa Barbara Unified,(805) 966-7392(make sure to verify first before calling),23,274,"Yes, under Provision 2",65
Adelante Dual Language Academy School,"2999 Ridgemont Dr.San Jose, CA 95127","San Jose, CA 95127",Alum Rock Union Elementary,(408) 928-1900(make sure to verify first before calling),586,26.4,288,96
Adelante High School,"6801 Seventh St.Riverbank, CA 95367","Riverbank, CA 95367",Riverbank Unified,(209) 869-2383(make sure to verify first before calling),26,61,No,48
Adelante High School,"6801 Seventh St.Riverbank, CA 95367","Riverbank, CA 95367",Riverbank Unified,(209) 869-2383(make sure to verify first before calling),26,61,No,48
Adelante High (Continuation) School,"350 Atlantic St.Roseville, CA 95678","Roseville, CA 95678",Roseville Joint Union High,(916) 782-3155(make sure to verify first before calling),102,11.1,65,3
Adelante Spanish Immersion School,"3150 Granger WayRedwood City, CA 94061","Redwood City, CA 94061",Redwood City Elementary,(650) 482-5999(make sure to verify first before calling),479,17.8,144,54
Adelanto Elementary School,"17931 Jonathan St.Adelanto, CA 92301","Adelanto, CA 92301",Adelanto Elementary,(760) 246-5892(make sure to verify first before calling),493,20.0,466,3
Adelanto High School,"15620 Joshua St.Adelanto, CA 92392","Adelanto, CA 92392",Victor Valley Union High,(760) 246-3909(make sure to verify first before calling),22,"1,695",No,"1,350"
Adele Harrison Middle School,"1150 BRd.waySonoma, CA 95476","Sonoma, CA 95476",Sonoma Valley Unified,(707) 935-6080(make sure to verify first before calling),415,24.1,138,50
Adobe Bluffs Elementary School,"8707 Adobe Bluffs Dr.San Diego, CA 92129","San Diego, CA 92129",Poway Unified,(858) 538-8403(make sure to verify first before calling),98,352,No,20
Adolfo Camarillo High School,"4660 Mission Oaks Blvd.Camarillo, CA 93012","Camarillo, CA 93012",Oxnard Union High,(805) 389-6407(make sure to verify first before calling),"2,418",90.6,449,151
Adrian Wilcox High School,"3250 Monroe St.Santa Clara, CA 95051","Santa Clara, CA 95051",Santa Clara Unified,(408) 423-2400(make sure to verify first before calling),"1,977",85.1,629,194
Adult Transition Program School,"800 W. Covina Blvd.San Dimas, CA 91773","San Dimas, CA 91773",Bonita Unified,(909) 971-8230(make sure to verify first before calling),No,4,No,Not a Title I school
Advanced Learning Academy School,"335 E. Walnut Ave.Santa Ana, CA 92701","Santa Ana, CA 92701",Santa Ana Unified,(714) 480-4300(make sure to verify first before calling),26,6.0,Santa Ana Unified,Yes
Aeolian Elementary School,"11600 Aeolian St.Whittier, CA 90606","Whittier, CA 90606",Los Nietos,(562) 699-0913(make sure to verify first before calling),24,507,"Yes, under Provision 2",414
Afflerbaugh-Paige Camp School,"6621 N. Stephens Ranch Rd.La Verne, CA 91750","La Verne, CA 91750",Los Angeles County Office of Education,(909) 593-4926(make sure to verify first before calling),112,6.2,92,Los Angeles County Office of Education
Aggeler Community Day School,"21050 Plummer St.Los Angeles, CA 91311","Los Angeles, CA 91311",Los Angeles Unified,(818) 341-1232(make sure to verify first before calling),78,6.8,74,Los Angeles Unified
Agnes J. Johnson Elementary School,"73 Sch Rd.Weott, CA 95571","Weott, CA 95571",Southern Humboldt Joint Unified,(707) 946-2347(make sure to verify first before calling),80,4.0,36,5
Agnes L. Smith Elementary School,"770 17th St.Huntington Beach, CA 92648","Huntington Beach, CA 92648",Huntington Beach City Elementary,(714) 536-1469(make sure to verify first before calling),844,29.0,141,38
Agnes M. Baptist Elementary School,"1825 Cheyenne WayModesto, CA 95356","Modesto, CA 95356",Stanislaus Union Elementary,(209) 527-0450(make sure to verify first before calling),614,23.0,299,64
Agnes Ware Stanley Elementary School,"12201 Elmwood Ave.Garden Grove, CA 92840","Garden Grove, CA 92840",Garden Grove Unified,(714) 663-6484(make sure to verify first before calling),56,383,No,197
Agoura High School,"28545 W. Dr.r Ave.Agoura Hills, CA 91301","Agoura Hills, CA 91301",Las Virgenes Unified,(818) 889-1262(make sure to verify first before calling),80,"2,075",No,109
Agua Caliente Elementary School,"30-800 San Luis Rey PlazaCathedral City, CA 92234","Cathedral City, CA 92234",Palm Springs Unified,(760) 416-8235(make sure to verify first before calling),21,594,No,515
Ahwahnee High School,"50407 Hangtree Ln.Oakhurst, CA 93644","Oakhurst, CA 93644",Yosemite Unified,(559) 683-4667(make sure to verify first before calling),22,1.2,12,3
Ahwahnee Middle School,"1127 E. Escalon Ave.Fresno, CA 93710","Fresno, CA 93710",Fresno Unified,(559) 451-4300(make sure to verify first before calling),662,34.7,391,171
Aileen Colburn Elementary School,"2201 Heller St.Atwater, CA 95301","Atwater, CA 95301",Atwater Elementary,(209) 357-6136(make sure to verify first before calling),415,18.0,354,42
Akers Elementary School,"Constellation Ave.N.A.S Lemoore, CA 93245",R. J. Neutra,Central Union Elementary,(559) 998-5707(make sure to verify first before calling),646,31.5,102,159
Akira Yokomi Elementary School,"2323 E. McKenzieFresno, CA 93701","Fresno, CA 93701",Fresno Unified,(559) 457-6140(make sure to verify first before calling),828,33.0,532,171
Alain Leroy Locke College Preparatory Academy School,"325 E. 111th St.Los Angeles, CA 90061","Los Angeles, CA 90061",Los Angeles Unified,(323) 420-2100(make sure to verify first before calling),10,"1,684",No,"1,511"
Alameda Community Learning Center School,"1900 Third St.Alameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 995-4300(make sure to verify first before calling),91,379,No,34
Alameda County Community School,"313 W. Winton Ave.Hayward, CA 94544","Hayward, CA 94544",Alameda County Office of Education,(510) 670-4590(make sure to verify first before calling),9,253,No,205
Alameda County Juvenile Hall/Court School,"2500 Fairmont Ave.San Leandro, CA 94578","San Leandro, CA 94578",Alameda County Office of Education,(510) 670-7609(make sure to verify first before calling),23,122,No,66
Alameda County Special Education School,"313 W. Winton Ave.Hayward, CA 94544","Hayward, CA 94544",Alameda County Office of Education,(510) 723-3857(make sure to verify first before calling),No,Alameda County Office of Education,Not a Title I school,Missing
Alameda Elementary School,"8613 E. Alameda St.Downey, CA 90242","Downey, CA 90242",Downey Unified,(562) 904-3589(make sure to verify first before calling),607,26.0,374,83
Alameda High School,"2201 Encinal Ave.Alameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 337-7022(make sure to verify first before calling),"1,718",77.7,271,41
Alameda Science And Technology Institute School,"555 Atlantic Ave.Alameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 748-4021(make sure to verify first before calling),175,6.1,40,13
Alamitos Intermediate School,"12381 Dale St.Garden Grove, CA 92841","Garden Grove, CA 92841",Garden Grove Unified,(714) 663-6101(make sure to verify first before calling),65,806,No,516
Alamo Elementary School,"100 Wilson Rd.Alamo, CA 94507","Alamo, CA 94507",San Ramon Valley Unified,(925) 855-4800(make sure to verify first before calling),99,378,No,5
Alamo Elementary School,"100 Wilson Rd.Alamo, CA 94507","Alamo, CA 94507",San Ramon Valley Unified,(925) 855-4800(make sure to verify first before calling),99,378,No,5
Alamo Elementary School,"100 Wilson Rd.Alamo, CA 94507","Alamo, CA 94507",San Ramon Valley Unified,(925) 855-4800(make sure to verify first before calling),99,378,No,5
Alamos Elementary School,"38200 Pacific Park Dr.Murrieta, CA 92563","Murrieta, CA 92563",Temecula Valley Unified,(951) 294-6760(make sure to verify first before calling),832,32.5,133,46
Alamosa Park Elementary School,"5130 Alamosa Park Dr.Oceanside, CA 92057","Oceanside, CA 92057",Vista Unified,(760) 940-0700(make sure to verify first before calling),57,510,No,135
Albany High School,"603 Key Route Blvd.Albany, CA 94706","Albany, CA 94706",Albany City Unified,(510) 558-2500(make sure to verify first before calling),"1,210",62.8,140,66
Albany Middle School,"1259 Brighton Ave.Albany, CA 94706","Albany, CA 94706",Albany City Unified,(510) 558-3600(make sure to verify first before calling),895,46.0,118,38
Albany Park Elementary School,"235 W. 20th Ave.Delano, CA 93215","Delano, CA 93215",Delano Union Elementary,(661) 721-5020(make sure to verify first before calling),19,442,"Yes, under Provision 2",302
Albert A. Michelson Elementary School,"196 Pennsylvania Gulch Rd.Murphys, CA 95247","Murphys, CA 95247",Vallecito Union,(209) 728-3441(make sure to verify first before calling),228,12.0,77,15
Albert Baxter Elementary School,"14929 Cerritos Ave.Bellflower, CA 90706","Bellflower, CA 90706",Bellflower Unified,(562) 531-1602(make sure to verify first before calling),503,20.0,301,108
Albert Einstein Academy Ltrs Arts Scis - Aqua Dulce Part. Academy School,"11311 Frascati St.Agua Dulce, CA 91390","Agua Dulce, CA 91390",Acton-Agua Dulce Unified,(661) 268-1660(make sure to verify first before calling),41,197,No,39
Albert Einstein Academy For Ltrs Arts & Scis - Odyssey School,"8844 Burton WayBeverly Hills, CA 90211","Beverly Hills, CA 90211",Acton-Agua Dulce Unified,(424) 284-3300(make sure to verify first before calling),185,10.0,28,8
Albert Einstein Academy Charter Elementary School,"3035 Ash St.San Diego, CA 92102","San Diego, CA 92102",San Diego Unified,(619) 795-1190(make sure to verify first before calling),70,693,No,176
Albert Einstein Academy Charter Middle School,"458 26th St.San Diego, CA 92102","San Diego, CA 92102",San Diego Unified,(619) 795-1190(make sure to verify first before calling),79,587,No,237
Albert Einstein Academy For Letters Arts And Sciences School,"28141 Kelly Johnson Pkwy.Santa Clarita, CA 91355","Santa Clarita, CA 91355",William S. Hart Union High,(661) 702-0755(make sure to verify first before calling),92,449,No,21
Albert Einstein Academy For Letters Arts And Sciences-Steam School,"25443 Orchard Village Rd.Santa Clarita, CA 91355","Santa Clarita, CA 91355",Acton-Agua Dulce Unified,(661) 200-3194(make sure to verify first before calling),74,677,No,67
Albert Einstein Continuation School,"15938 Tupper St.Los Angeles, CA 91343","Los Angeles, CA 91343",Los Angeles Unified,(818) 892-4367(make sure to verify first before calling),72,3.5,45,4
Albert Einstein Middle School,"9325 Mirandy Dr.Sacramento, CA 95826","Sacramento, CA 95826",Sacramento City Unified,(916) 395-5310(make sure to verify first before calling),743,30.3,466,100
Albert F. Biella Elementary School,"2140 Jennings Ave.Santa Rosa, CA 95401","Santa Rosa, CA 95401",Santa Rosa Elementary,(707) 522-3110(make sure to verify first before calling),414,20.0,232,57
Albert Powell Continuation School,"1875 Clark Ave.Yuba City, CA 95991","Yuba City, CA 95991",Yuba City Unified,(530) 822-5210(make sure to verify first before calling),23,180,No,122
Albert Weitzer Elementary School,"4350 Glenridge Dr.Carmichael, CA 95608","Carmichael, CA 95608",San Juan Unified,(916) 867-2094(make sure to verify first before calling),372,14.0,131,18
Alberta Martone Elementary School,"1413 Poust Rd.Modesto, CA 95358","Modesto, CA 95358",Modesto City Elementary,(209) 576-4613(make sure to verify first before calling),651,26.0,432,105
Albion Elementary School,"30400 Albion Ridge Rd.Albion, CA 95410","Albion, CA 95410",Mendocino Unified,(707) 937-2968(make sure to verify first before calling),1.0,No,3,Mendocino Unified
Albion Street Elementary School,"322 S. Ave. 18Los Angeles, CA 90031","Los Angeles, CA 90031",Los Angeles Unified,(323) 221-3108(make sure to verify first before calling),262,12.0,215,26
Alcott Elementary School,"1600 S. Towne Ave.Pomona, CA 91766","Pomona, CA 91766",Pomona Unified,(909) 397-4552(make sure to verify first before calling),22,934,No,798
Alcott Elementary School,"1600 S. Towne Ave.Pomona, CA 91766","Pomona, CA 91766",Pomona Unified,(909) 397-4552(make sure to verify first before calling),22,934,No,798
Alcott Elementary School,"1600 S. Towne Ave.Pomona, CA 91766","Pomona, CA 91766",Pomona Unified,(909) 397-4552(make sure to verify first before calling),22,934,No,798
Aldama Elementary School,"632 N. Ave. 50Los Angeles, CA 90042","Los Angeles, CA 90042",Los Angeles Unified,(323) 255-1434(make sure to verify first before calling),564,25.0,364,53
Alder Creek Middle School,"10931 Alder Dr.Truckee, CA 96161","Truckee, CA 96161",Tahoe-Truckee Unified,(530) 582-2750(make sure to verify first before calling),73,495,No,134
Alder Grove Charter School,"714 F St.Eureka, CA 95501","Eureka, CA 95501",South Bay Union Elementary,(707) 268-0854(make sure to verify first before calling),38,379,No,195
Alder Middle School,"7555 Alder Ave.Fontana, CA 92336","Fontana, CA 92336",Fontana Unified,(909) 357-5330(make sure to verify first before calling),21,"1,177","Yes, under Provision 2",855
Alderwood Elementary School,"2005 KnollcrestIrvine, CA 92603","Irvine, CA 92603",Irvine Unified,(949) 936-5400(make sure to verify first before calling),96,847,No,68
Alessandro School,"23311 Dracaea Ave.Moreno Valley, CA 92553","Moreno Valley, CA 92553",Moreno Valley Unified,(951) 571-4510(make sure to verify first before calling),49,7.0,39,4
Alessandro High School,"831 E. Devonshire Ave.Hemet, CA 92543","Hemet, CA 92543",Hemet Unified,(951) 765-5182(make sure to verify first before calling),350,16.6,271,33
Alexander Fleming Middle School,"25425 Walnut St.Lomita, CA 90717","Lomita, CA 90717",Los Angeles Unified,(310) 257-4500(make sure to verify first before calling),"1,442",59.0,983,175
Alexander Hamilton Elementary School,"2245 E. 11th St.Stockton, CA 95206","Stockton, CA 95206",Stockton Unified,(209) 933-7395(make sure to verify first before calling),9,826,"Yes, under Provision 2",614
Alexander Hamilton Senior High School,"2955 Robertson Blvd.Los Angeles, CA 90034","Los Angeles, CA 90034",Los Angeles Unified,(310) 280-1400(make sure to verify first before calling),"2,879",115.3,"1,465",344
Alexander Rose Elementary School,"250 Roswell Dr.Milpitas, CA 95035","Milpitas, CA 95035",Milpitas Unified,(408) 635-2668(make sure to verify first before calling),68,451,No,216
Alexander Valley Elementary School,"8511 Highway 128Healdsburg, CA 95448","Healdsburg, CA 95448",Alexander Valley Union Elementary,(707) 433-1375(make sure to verify first before calling),84,123,No,24
Alexandria Avenue Elementary School,"4211 Oakwood Ave.Los Angeles, CA 90004","Los Angeles, CA 90004",Los Angeles Unified,(323) 660-1936(make sure to verify first before calling),753,30.0,630,62
Alfonso B. Perez Special Education Center School,"4540 Michigan Ave.Los Angeles, CA 90022","Los Angeles, CA 90022",Los Angeles Unified,(323) 269-0681(make sure to verify first before calling),28.9,"Yes, under Community Eligibility Option (CEO)",41,Los Angeles Unified
Alfred B. Nobel Charter Middle School,"9950 Tampa Ave.Los Angeles, CA 91324","Los Angeles, CA 91324",Los Angeles Unified,(818) 773-4700(make sure to verify first before calling),87,"2,456",No,720
Alfred S. Madrid Middle School,"3300 Gilman Rd.EL MONTE, CA 91732","EL MONTE, CA 91732",Mountain View Elementary,(626) 652-4300(make sure to verify first before calling),26,844,"Yes, under Provision 2",672
Alhambra High School,"101 S. Second St.Alhambra, CA 91801","Alhambra, CA 91801",Alhambra Unified,(626) 943-6910(make sure to verify first before calling),71,"2,642",No,"1,463"
Alhambra Senior High School,"150 E St.Martinez, CA 94553","Martinez, CA 94553",Martinez Unified,(925) 335-5810(make sure to verify first before calling),"1,179",55.8,249,82
Alianza Charter School,"115 Casserly Rd.Watsonville, CA 95076","Watsonville, CA 95076",Pajaro Valley Unified,(831) 728-6333(make sure to verify first before calling),20,661,No,449
Alicante Avenue Elementary School,"7998 Alicante Ave.Lamont, CA 93241","Lamont, CA 93241",Lamont Elementary,(661) 845-1452(make sure to verify first before calling),"1,212",47.5,984,74
Alice Birney Elementary School,"717 S. Ave.Eureka, CA 95503","Eureka, CA 95503",Eureka City Schools,(707) 441-2495(make sure to verify first before calling),12,424,No,349
Alice Birney Elementary School,"717 S. Ave.Eureka, CA 95503","Eureka, CA 95503",Eureka City Schools,(707) 441-2495(make sure to verify first before calling),12,424,No,349
Alice Birney Waldorf-Inspired School,"6251 13th St.Sacramento, CA 95831","Sacramento, CA 95831",Sacramento City Unified,(916) 395-4510(make sure to verify first before calling),582,22.0,135,44
Alice C. Stelle Middle School,"22450 Mulholland Hwy.Calabasas, CA 91302","Calabasas, CA 91302",Las Virgenes Unified,(818) 224-4107(make sure to verify first before calling),89,790,No,42
Alice M. Ellington Elementary School,"5034 N. ClydebankCovina, CA 91722","Covina, CA 91722",Azusa Unified,(626) 858-6800(make sure to verify first before calling),557,24.0,338,57
Alice N. Stroud Elementary School,"815 Frazine Rd.Modesto, CA 95357","Modesto, CA 95357",Empire Union Elementary,(209) 491-0754(make sure to verify first before calling),49,480,No,291
Alice Shaw Elementary School,"759 Dahlia Pl.Santa Maria, CA 93455","Santa Maria, CA 93455",Orcutt Union Elementary,(805) 938-8850(make sure to verify first before calling),642,22.5,256,95
Alicia Cortez Elementary School,"12750 Carissa Ave.Chino, CA 91710","Chino, CA 91710",Chino Valley Unified,(909) 627-9438(make sure to verify first before calling),35,684,No,416
Alicia Reyes Elementary School,"123 S. N St.Merced, CA 95340","Merced, CA 95340",Merced City Elementary,(209) 385-6761(make sure to verify first before calling),652,28.6,604,26
Alila School,"850 W. Washington Ave.Earlimart, CA 93219","Earlimart, CA 93219",Earlimart Elementary,(661) 849-4202(make sure to verify first before calling),616,28.0,548,40
Alisal Community School,"1437 Del Monte Ave.Salinas, CA 93905","Salinas, CA 93905",Alisal Union,(831) 753-5720(make sure to verify first before calling),782,30.0,698,40
Alisal Elementary School,"1454 Santa Rita Rd.Pleasanton, CA 94566","Pleasanton, CA 94566",Pleasanton Unified,(925) 426-4200(make sure to verify first before calling),92,628,No,41
Alisal High School,"777 Williams Rd.Salinas, CA 93905","Salinas, CA 93905",Salinas Union High,(831) 796-7600(make sure to verify first before calling),33,"2,585",No,"1,830"
Aliso Elementary School,"4545 Carpinteria Ave.Carpinteria, CA 93013","Carpinteria, CA 93013",Carpinteria Unified,(805) 684-4539(make sure to verify first before calling),405,16.0,258,72
Aliso Niguel High School,"28000 Wolverine WayAliso Viejo, CA 92656","Aliso Viejo, CA 92656",Capistrano Unified,(949) 831-5590(make sure to verify first before calling),91,"3,068",No,287
Aliso Viejo Middle School,"111 Park Ave.Aliso Viejo, CA 92656","Aliso Viejo, CA 92656",Capistrano Unified,(949) 831-2622(make sure to verify first before calling),"1,055",40.9,138,31
All Tribes Charter School,"34320 Valley Center Rd.Valley Center, CA 92082","Valley Center, CA 92082",Warner Unified,(760) 749-5982(make sure to verify first before calling),3,44,No,41
All Tribes Elementary Charter School,"34320 Valley Center Rd. Ste. BValley Center, CA 92082","Valley Center, CA 92082",Warner Unified,(760) 749-4375(make sure to verify first before calling),3.0,No,Warner Unified,Yes
Allan Orrenmaa Elementary School,"3350 Fillmore St.Riverside, CA 92503","Riverside, CA 92503",Alvord Unified,(951) 358-1635(make sure to verify first before calling),597,23.0,357,88
Allan Peterson Elementary School,"848 E. Donna Dr.Merced, CA 95340","Merced, CA 95340",Merced City Elementary,(209) 385-6700(make sure to verify first before calling),708,29.6,307,86
Allen (Decima M.) Elementary School,"875 W. Angus Ave.San Bruno, CA 94066","San Bruno, CA 94066",San Bruno Park Elementary,(650) 624-3140(make sure to verify first before calling),43,360,156,31
Allen (Ella B.) Elementary School,"4300 Allen Sch Rd.Bonita, CA 91902","Bonita, CA 91902",Chula Vista Elementary,(619) 479-3662(make sure to verify first before calling),82,401,No,101
Allen Avenue Elementary School,"740 E. Allen Ave.San Dimas, CA 91773","San Dimas, CA 91773",Bonita Unified,(909) 971-8202(make sure to verify first before calling),513,22.0,156,33
Allen At Steinbeck School,"820 Steinbeck Dr.San Jose, CA 95123","San Jose, CA 95123",San Jose Unified,(408) 535-6205(make sure to verify first before calling),724,31.8,363,72
Allendale Elementary School,"3670 Penniman Ave.Oakland, CA 94619","Oakland, CA 94619",Oakland Unified,(510) 535-2812(make sure to verify first before calling),374,16.0,311,10
Allensworth Elementary School,"3320 Young Rd.Allensworth, CA 93219","Allensworth, CA 93219",Allensworth Elementary,(661) 849-2401(make sure to verify first before calling),86,3.3,83,Allensworth Elementary
Allesandro Elementary School,"2210 Riverside Dr.Los Angeles, CA 90039","Los Angeles, CA 90039",Los Angeles Unified,(323) 666-7162(make sure to verify first before calling),440,18.5,295,86
Alliance 6-12 College-Ready Academy 21 School,"8755 Woodman Ave.Los Angeles, CA 91331","Los Angeles, CA 91331",Los Angeles Unified,(818) 962-3648(make sure to verify first before calling),50,4.0,32,9
Alliance Academy School,"1800 98th Ave.Oakland, CA 94603","Oakland, CA 94603",Oakland Unified,(510) 639-2893(make sure to verify first before calling),371,16.9,333,15
Alliance Alice M. Baxter College-Ready High School,"461 W. 9th St.Los Angeles, CA 90731","Los Angeles, CA 90731",Los Angeles Unified,(310) 221-0430(make sure to verify first before calling),68,220,No,156
Alliance Cindy And Bill Simon Technology Academy High School,"10720 S. Wilmington Ave.Los Angeles, CA 90059","Los Angeles, CA 90059",Los Angeles Unified,(323) 744-2122(make sure to verify first before calling),31,514,No,497
Alliance College-Ready Middle Academy 12 School,"100 E. 49th St.Los Angeles, CA 90011","Los Angeles, CA 90011",Los Angeles Unified,(323) 238-7270(make sure to verify first before calling),23,419,No,386
Alliance College-Ready Middle Academy 4 School,"9719 S. Main St.Los Angeles, CA 90003","Los Angeles, CA 90003",Los Angeles Unified,(323) 451-3009(make sure to verify first before calling),40,455,No,413
Alliance College-Ready Middle Academy 5 School,"211 S. Ave. 20Los Angeles, CA 90031","Los Angeles, CA 90031",Los Angeles Unified,(323) 352-8034(make sure to verify first before calling),21,331,No,277
Alliance College-Ready Middle Academy 8 School,"113 S. Rowan Ave.Los Angeles, CA 90063","Los Angeles, CA 90063",Los Angeles Unified,(323) 269-2156(make sure to verify first before calling),32,295,No,233
Alliance Collins Family College-Ready High School,"2071 Saturn Ave.Huntington Park, CA 90255","Huntington Park, CA 90255",Los Angeles Unified,(323) 923-1588(make sure to verify first before calling),57,601,No,487
Alliance Dr. Olga Mohan High School,"644 W. 17th St.Los Angeles, CA 90015","Los Angeles, CA 90015",Los Angeles Unified,(213) 342-2870(make sure to verify first before calling),79,451,No,397
Alliance Gertz-Ressler Richard Merkin 6-12 Complex School,"2023 S. Union Ave.Los Angeles, CA 90007","Los Angeles, CA 90007",Los Angeles Unified,(213) 745-8141(make sure to verify first before calling),50,980,No,844
Alliance Jack H. Skirball Middle School,"603 E. 115th St.Los Angeles, CA 90059","Los Angeles, CA 90059",Los Angeles Unified,(323) 905-1377(make sure to verify first before calling),30,444,No,375
Alliance Judy Ivie Burton Technology Academy High School,"10101 S. BRd.wayLos Angeles, CA 90003","Los Angeles, CA 90003",Los Angeles Unified,(323) 920-6125(make sure to verify first before calling),52,600,No,508
Alliance Kory Hunter Middle School,"5886 Compton Ave.Los Angeles, CA 90001","Los Angeles, CA 90001",Los Angeles Unified,(323) 484-0450(make sure to verify first before calling),16,293,No,257
Alliance Leadership Middle Academy School,"2941 W. 70th St.Los Angeles, CA 90043","Los Angeles, CA 90043",Los Angeles Unified,(323) 920-4388(make sure to verify first before calling),413,17.0,337,38
Alliance Leichtman-Levine Family Foundation Env Sci High School,"2930 Fletcher Dr.Los Angeles, CA 90065","Los Angeles, CA 90065",Los Angeles Unified,(323) 739-0560(make sure to verify first before calling),56,528,No,418
Alliance Marc & Eva Stern Math And Science School,"5151 State Univ Dr. Lot 2Los Angeles, CA 90032","Los Angeles, CA 90032",Los Angeles Unified,(323) 987-2144(make sure to verify first before calling),66,601,No,452
Alliance Margaret M. Bloomfield Technology Academy High School,"7907 Santa Fe Ave.Huntington Park, CA 90255","Huntington Park, CA 90255",Los Angeles Unified,(323) 537-2060(make sure to verify first before calling),69,280,No,239
