school_name,address,city,school_district,telephone,students,classroom_teachers,free_lunch_students,reduce_price_lunch
Country Club Elementary School,"7534 Blue Fox WaySan Ramon, CA 94583","San Ramon, CA 94583",San Ramon Valley Unified,(925) 479-6000(make sure to verify first before calling),84,553,No,26
Country Lane Elementary School,"5140 Country Ln.San Jose, CA 95129","San Jose, CA 95129",Moreland,(408) 874-3400(make sure to verify first before calling),95,659,No,49
Country Springs Elementary School,"14145 Village Center Dr.Chino Hills, CA 91709","Chino Hills, CA 91709",Chino Valley Unified,(909) 590-8212(make sure to verify first before calling),95,529,No,56
Courreges (Roch) Elementary School,"18313 Santa CarlottaFountain Valley, CA 92708","Fountain Valley, CA 92708",Fountain Valley Elementary,(714) 378-4280(make sure to verify first before calling),670,24.0,73,26
Cove School,"330 Golden Hind PassageCorte Madera, CA 94925","Corte Madera, CA 94925",Larkspur-Corte Madera,(415) 945-9046(make sure to verify first before calling),94,452,No,32
Covington Elementary School,"205 Covington Rd.Los Altos, CA 94024","Los Altos, CA 94024",Los Altos Elementary,(650) 947-1100(make sure to verify first before calling),99,559,No,10
Cox (James H.) Elementary School,"17615 Los Jardines E.Fountain Valley, CA 92708","Fountain Valley, CA 92708",Fountain Valley Elementary,(714) 378-4241(make sure to verify first before calling),734,26.0,160,61
Cox Academy School,"9860 Sunnyside St.Oakland, CA 94603","Oakland, CA 94603",Alameda County Office of Education,(510) 904-6300(make sure to verify first before calling),9,620,No,486
Coyote Creek Elementary School,"8700 N. Gale Ridge Rd.San Ramon, CA 94582","San Ramon, CA 94582",San Ramon Valley Unified,(925) 855-7300(make sure to verify first before calling),99,"1,052",No,38
Creative Arts Charter School,"1601 Turk St.San Francisco, CA 94115","San Francisco, CA 94115",San Francisco Unified,(415) 749-3509(make sure to verify first before calling),85,414,No,55
Credo High School,"1290 S.W. Blvd.Rohnert Park, CA 94928","Rohnert Park, CA 94928",Cotati-Rohnert Park Unified,(707) 664-0600(make sure to verify first before calling),82,175,No,34
Creekside Charter School,"1916 Chamonix Pl.Olympic Valley, CA 96146",http://www.newcastle.k12.ca.us,Newcastle Elementary,(530) 581-1036(make sure to verify first before calling),95,136,No,19
Creekside Elementary School,"6011 Massara St.Danville, CA 94506","Danville, CA 94506",San Ramon Valley Unified,(925) 314-2000(make sure to verify first before calling),96,749,No,22
Creekside Middle School,"19722 Center St.Castro Valley, CA 94546","Castro Valley, CA 94546",Castro Valley Unified,(510) 247-0665(make sure to verify first before calling),793,31.0,107,46
Crescent Elementary School,"5001 Gerda Dr.Anaheim, CA 92807","Anaheim, CA 92807",Orange Unified,(714) 997-6371(make sure to verify first before calling),96,782,No,93
Crescenta Valley High School,"2900 Comm Ave.La Crescenta-Montrose, CA 91214","La Crescenta-Montrose, CA 91214",Glendale Unified,(818) 249-5871(make sure to verify first before calling),"2,670",90.7,328,105
Crestview Elementary School,"900 Crosby Ave.Simi Valley, CA 93065","Simi Valley, CA 93065",Simi Valley Unified,(805) 520-6715(make sure to verify first before calling),355,13.0,125,40
Crocker Highlands Elementary School,"525 Midcrest Rd.Oakland, CA 94610","Oakland, CA 94610",Oakland Unified,(510) 451-5900(make sure to verify first before calling),450,18.5,36,3
Crocker Middle School,"2600 Ralston Ave.Hillsborough, CA 94010","Hillsborough, CA 94010",Hillsborough City Elementary,(650) 342-6331(make sure to verify first before calling),540,37.8,3,Hillsborough City Elementary
Crocker/Riverside Elementary School,"2970 Riverside Blvd.Sacramento, CA 95818","Sacramento, CA 95818",Sacramento City Unified,(916) 395-4535(make sure to verify first before calling),634,22.4,99,33
Crowne Hill Elementary School,"33535 Old Kent Rd.Temecula, CA 92592","Temecula, CA 92592",Temecula Valley Unified,(951) 294-6370(make sure to verify first before calling),613,24.0,130,14
Cullen Elementary School,"440 N. Live Oak Ave.Glendora, CA 91741","Glendora, CA 91741",Glendora Unified,(626) 852-4593(make sure to verify first before calling),690,27.9,104,39
Cumberland Elementary School,"824 Cumberland Ave.Sunnyvale, CA 94087","Sunnyvale, CA 94087",Sunnyvale,(408) 522-8255(make sure to verify first before calling),745,31.4,31,12
Cupertino High School,"10100 Finch Ave.Cupertino, CA 95014","Cupertino, CA 95014",Fremont Union High,(408) 366-7300(make sure to verify first before calling),"2,245",89.3,138,52
Cupertino Middle School,"1650 S. Bernardo Ave.Sunnyvale, CA 94087","Sunnyvale, CA 94087",Cupertino Union,(408) 245-0303(make sure to verify first before calling),"1,485",64.1,84,15
Curie Elementary School,"4080 Governor Dr.San Diego, CA 92122","San Diego, CA 92122",San Diego Unified,(858) 453-4184(make sure to verify first before calling),97,587,No,72
Curtner Elementary School,"275 RedwoodMilpitas, CA 95035","Milpitas, CA 95035",Milpitas Unified,(408) 635-2852(make sure to verify first before calling),730,27.8,106,39
Cypress Elementary School,"351 W. Cypress Ave.Covina, CA 91723","Covina, CA 91723",Covina-Valley Unified,(626) 974-4300(make sure to verify first before calling),31,649,No,410
Cypress High School,"9801 Valley View St.Cypress, CA 90630","Cypress, CA 90630",Anaheim Union High,(714) 220-4144(make sure to verify first before calling),85,"2,749",No,606
Cypress Village Elementary School,"355 Rush LilyIrvine, CA 92620","Irvine, CA 92620",Irvine Unified,(949) 936-5000(make sure to verify first before calling),93,939,No,87
Cyrus J. Morris Elementary School,"19875 E. Calle BajaWalnut, CA 91789","Walnut, CA 91789",Walnut Valley Unified,(909) 594-0053(make sure to verify first before calling),87,468,No,90
D. J. Sedgwick Elementary School,"19200 Phil Ln.Cupertino, CA 95014","Cupertino, CA 95014",Cupertino Union,(408) 252-3103(make sure to verify first before calling),644,26.5,21,5
D. Russell Parks Junior High School,"1710 Rosecrans Ave.Fullerton, CA 92833","Fullerton, CA 92833",Fullerton Elementary,(714) 447-7785(make sure to verify first before calling),90,998,No,203
Da Vinci Charter Academy School,"1400 E. Eighth St.Davis, CA 95616","Davis, CA 95616",Davis Joint Unified,(530) 757-7154(make sure to verify first before calling),583,24.7,45,3
Da Vinci Innovation Academy School,"13500 Aviation Blvd.Hawthorne, CA 90250","Hawthorne, CA 90250",Wiseburn Unified,(310) 725-5800(make sure to verify first before calling),82,354,No,18
Da Vinci Science School,"13500 Aviation Blvd.Hawthorne, CA 90250","Hawthorne, CA 90250",Wiseburn Unified,(310) 725-5800(make sure to verify first before calling),87,517,No,145
Dailard Elementary School,"6425 Cibola Rd.San Diego, CA 92120","San Diego, CA 92120",San Diego Unified,(619) 286-1550(make sure to verify first before calling),83,552,No,92
Dana School,"1775 Chatsworth Blvd.San Diego, CA 92106","San Diego, CA 92106",San Diego Unified,(619) 225-3897(make sure to verify first before calling),83,820,No,248
Dana Hills High School,"33333 Golden LanternDana Point, CA 92629","Dana Point, CA 92629",Capistrano Unified,(949) 496-6666(make sure to verify first before calling),84,"2,679",No,471
Daniel Webster Middle School,"11330 W. Graham Pl.Los Angeles, CA 90064","Los Angeles, CA 90064",Los Angeles Unified,(310) 235-4600(make sure to verify first before calling),454,27.0,338,45
Dapplegray Elementary School,"3011 Palos Verdes Dr. N.Rolling Hills Estates, CA 90274","Rolling Hills Estates, CA 90274",Palos Verdes Peninsula Unified,(310) 541-3706(make sure to verify first before calling),94,599,No,23
Dartmouth Middle School,"41535 Mayberry Ave.Hemet, CA 92544","Hemet, CA 92544",Hemet Unified,(951) 765-2550(make sure to verify first before calling),"1,028",42.7,618,172
Daves Avenue Elementary School,"17770 Daves Ave.Los Gatos, CA 95030","Los Gatos, CA 95030",Los Gatos Union Elementary,(408) 335-2200(make sure to verify first before calling),94,584,No,5
David Starr Jordan Middle School,"420 S. Mariposa St.Burbank, CA 91506","Burbank, CA 91506",Burbank Unified,(818) 558-4622(make sure to verify first before calling),"1,029",39.7,254,70
David W. Long Elementary School,"5383 Bridlepath Dr.Fontana, CA 92236","Fontana, CA 92236",Etiwanda Elementary,(909) 463-1626(make sure to verify first before calling),80,830,No,165
Davis For Independent Study School,"526 B St.Davis, CA 95616","Davis, CA 95616",Davis Joint Unified,(530) 757-5333(make sure to verify first before calling),119,8.3,22,Davis Joint Unified
Davis Senior High School,"315 W. 14th St.Davis, CA 95616","Davis, CA 95616",Davis Joint Unified,(530) 757-5400(make sure to verify first before calling),"1,683",67.9,216,33
Day Creek Intermediate School,"12345 Coyote Dr.Rancho Cucamonga, CA 91739","Rancho Cucamonga, CA 91739",Etiwanda Elementary,(909) 803-3300(make sure to verify first before calling),94,"1,273",No,226
De Portola Elementary School,"27031 Preciados Dr.Mission Viejo, CA 92691","Mission Viejo, CA 92691",Saddleback Valley Unified,(949) 586-5830(make sure to verify first before calling),552,18.0,32,3
De Portola Middle School,"11010 Clairemont Mesa Blvd.San Diego, CA 92124","San Diego, CA 92124",San Diego Unified,(858) 496-8080(make sure to verify first before calling),84,952,No,279
Deborah A. Williams Elementary School,"525 W. SaginawFresno, CA 93705","Fresno, CA 93705",Fresno Unified,(559) 248-7540(make sure to verify first before calling),651,26.0,558,77
Deer Canyon Elementary School,"10225 Hamilton St.Rancho Cucamonga, CA 91701","Rancho Cucamonga, CA 91701",Alta Loma Elementary,(909) 484-5030(make sure to verify first before calling),603,22.8,188,60
Deer Creek Elementary School,"805 Lindley Ave.Nevada City, CA 95959","Nevada City, CA 95959",Nevada City Elementary,(530) 265-1870(make sure to verify first before calling),80,417,No,115
Deerfield Elementary School,"2 Deerfield Ave.Irvine, CA 92604","Irvine, CA 92604",Irvine Unified,(949) 936-5650(make sure to verify first before calling),96,656,No,88
Del Dayo Elementary School,"1301 McClaren Dr.Carmichael, CA 95608","Carmichael, CA 95608",San Juan Unified,(916) 575-2323(make sure to verify first before calling),587,20.0,66,10
Del Lago Academy - Campus Of Applied Science School,"1740 Scenic Trail WayEscondido, CA 92029","Escondido, CA 92029",Escondido Union High,(760) 291-2500(make sure to verify first before calling),76,682,No,247
Del Mar Heights Elementary School,"13555 Boquita Dr.Del Mar, CA 92014","Del Mar, CA 92014",Del Mar Union Elementary,(858) 755-9367(make sure to verify first before calling),98,459,No,14
Del Mar Hills Elementary School,"14085 Mango Dr.Del Mar, CA 92014","Del Mar, CA 92014",Del Mar Union Elementary,(858) 755-9763(make sure to verify first before calling),96,322,No,20
Del Mar Middle School,"105 Avenida MirafloresTiburon, CA 94920","Tiburon, CA 94920",Reed Union Elementary,(415) 435-1468(make sure to verify first before calling),543,30.0,22,Reed Union Elementary
Del Norte High School,"1301 El Dorado St.Crescent City, CA 95531","Crescent City, CA 95531",Del Norte County Unified,(707) 464-0274(make sure to verify first before calling),54,878,No,410
Del Oro High School,"3301 Taylor Rd.Loomis, CA 95650","Loomis, CA 95650",Placer Union High,(916) 652-7243(make sure to verify first before calling),90,"1,715",No,165
Del Rosa Elementary School,"3395 N. Mountain Ave.San Bernardino, CA 92404","San Bernardino, CA 92404",San Bernardino City Unified,(909) 881-8160(make sure to verify first before calling),581,22.0,520,37
Del Sur Elementary School,"15665 Paseo Del SurSan Diego, CA 92127","San Diego, CA 92127",Poway Unified,(858) 674-6200(make sure to verify first before calling),98,705,No,54
Delaine Eastin Elementary School,"34901 E.in Dr.Union City, CA 94587","Union City, CA 94587",New Haven Unified,(510) 475-9630(make sure to verify first before calling),85,851,No,127
Delevan Drive Elementary School,"4168 W. Ave. 42Los Angeles, CA 90065","Los Angeles, CA 90065",Los Angeles Unified,(323) 255-0571(make sure to verify first before calling),487,21.0,215,87
Design 39 Campus School,"17050 Del Sur Ridge Rd.San Diego, CA 92127","San Diego, CA 92127",Poway Unified,(858) 679-6639(make sure to verify first before calling),96,"1,011",No,88
Design Science Early College High School,"2004 E. Cambridge Ave.Fresno, CA 93703","Fresno, CA 93703",Fresno Unified,(559) 248-7353(make sure to verify first before calling),232,8.0,102,70
Diablo View Middle School,"300 Diablo View Ln.Clayton, CA 94517","Clayton, CA 94517",Mt. Diablo Unified,(925) 672-0898(make sure to verify first before calling),703,28.1,89,30
Diablo Vista Middle School,"4100 Camino TassajaraDanville, CA 94506","Danville, CA 94506",San Ramon Valley Unified,(925) 855-7600(make sure to verify first before calling),98,"1,018",No,18
Diamond Bar High School,"21400 Pathfinder Rd.Diamond Bar, CA 91765","Diamond Bar, CA 91765",Walnut Valley Unified,(909) 594-1405(make sure to verify first before calling),93,"3,061",No,222
Diamond Creek Elementary School,"3151 Hopscotch WayRoseville, CA 95747","Roseville, CA 95747",Roseville City Elementary,(916) 771-1760(make sure to verify first before calling),581,25.0,56,30
Diegueno Middle School,"2150 Village Park WayEncinitas, CA 92024","Encinitas, CA 92024",San Dieguito Union High,(760) 944-1892(make sure to verify first before calling),993,41.6,65,10
Dingeman Elementary School,"11840 Scripps Creek Dr.San Diego, CA 92131","San Diego, CA 92131",San Diego Unified,(858) 549-4437(make sure to verify first before calling),99,858,No,51
Discovery Charter School,"1100 Camino BiscayChula Vista, CA 91910","Chula Vista, CA 91910",Chula Vista Elementary,(619) 656-0797(make sure to verify first before calling),89,905,No,184
Discovery Elementary School,"7500 Vaquero Ave.Bakersfield, CA 93308","Bakersfield, CA 93308",Fruitvale Elementary,(661) 589-7336(make sure to verify first before calling),72,883,No,249
Dixie Canyon Community Charter School,"4220 Dixie Canyon Ave.Los Angeles, CA 91423","Los Angeles, CA 91423",Los Angeles Unified,(818) 784-6283(make sure to verify first before calling),731,28.5,141,36
Dixie Elementary School,"1175 Idylberry Dr.San Rafael, CA 94903","San Rafael, CA 94903",Dixie Elementary,(415) 492-3730(make sure to verify first before calling),397,18.6,8,3
Don Juan Avila Elementary School,"26278 Wood Canyon Dr.Aliso Viejo, CA 92656","Aliso Viejo, CA 92656",Capistrano Unified,(949) 349-9452(make sure to verify first before calling),780,25.0,50,15
Don Juan Avila Middle School,"26278 Wood Canyon Dr.Aliso Viejo, CA 92656","Aliso Viejo, CA 92656",Capistrano Unified,(949) 362-0348(make sure to verify first before calling),"1,225",45.7,116,40
Donald D. Lum Elementary School,"1801 Sandcreek WayAlameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 748-4009(make sure to verify first before calling),520,21.0,113,23
Donald F. Bradach Elementary School,"15550 Bellflower Rd.Adelanto, CA 92301","Adelanto, CA 92301",Adelanto Elementary,(760) 246-5016(make sure to verify first before calling),9,754,"Yes, under Provision 2",593
Donald L. Rheem Elementary School,"90 Laird Dr.Moraga, CA 94556","Moraga, CA 94556",Moraga Elementary,(925) 376-4441(make sure to verify first before calling),410,18.0,9,Moraga Elementary
Donald S. Jordan Intermediate School,"9821 Woodbury Rd.Garden Grove, CA 92844","Garden Grove, CA 92844",Garden Grove Unified,(714) 663-6124(make sure to verify first before calling),81,727,No,427
Donlon Elementary School,"4150 Dorman Rd.Pleasanton, CA 94588","Pleasanton, CA 94588",Pleasanton Unified,(925) 426-4220(make sure to verify first before calling),93,825,No,30
Donner Trail Elementary School,"52755 Donner Pass Rd.Kingvale, CA 96161","Kingvale, CA 96161",Tahoe-Truckee Unified,(530) 426-3639(make sure to verify first before calling),87,64,No,6
Dos Pueblos Senior High School,"7266 Alameda Ave.Goleta, CA 93117","Goleta, CA 93117",Santa Barbara Unified,(805) 968-2541(make sure to verify first before calling),82,"2,130",No,460
Double Peak School,"111 San Elijo Rd.San Marcos, CA 92069",http://www.smusd.org,San Marcos Unified,(760) 290-2340(make sure to verify first before calling),92,San Marcos Unified,No,
Dougherty Valley High School,"10550 Albion Rd.San Ramon, CA 94582","San Ramon, CA 94582",San Ramon Valley Unified,(925) 479-6400(make sure to verify first before calling),97,"2,759",No,99
Douglas City Elementary School,"100 Sch Rd.Douglas City, CA 96024","Douglas City, CA 96024",Douglas City Elementary,(530) 623-6350(make sure to verify first before calling),87,180,No,69
Downtown Business High School,"1081 W. Temple St.Los Angeles, CA 90012","Los Angeles, CA 90012",Los Angeles Unified,(213) 481-0371(make sure to verify first before calling),"1,031",44.5,688,145
Downtown Charter Academy School,"301 12th St.Oakland, CA 94607","Oakland, CA 94607",Oakland Unified,(510) 444-1702(make sure to verify first before calling),95,263,No,177
Downtown Elementary School,"2021 M St.Bakersfield, CA 93301","Bakersfield, CA 93301",Bakersfield City,(661) 631-5920(make sure to verify first before calling),85,308,No,31
Doyle Elementary School,"3950 Berino Ct.San Diego, CA 92122","San Diego, CA 92122",San Diego Unified,(858) 455-6230(make sure to verify first before calling),90,886,No,216
Dr. Tj Owens Gilroy Early College Academy School,"5055 Santa Teresa Blvd. PB17Gilroy, CA 95020","Gilroy, CA 95020",Gilroy Unified,(408) 846-4909(make sure to verify first before calling),97,255,No,50
Dry Creek Elementary School,"1273 N. Armstrong Ave.Clovis, CA 93619","Clovis, CA 93619",Clovis Unified,(559) 327-6500(make sure to verify first before calling),820,30.0,115,43
Dublin Elementary School,"7997 Vomac Rd.Dublin, CA 94568","Dublin, CA 94568",Dublin Unified,(925) 833-1204(make sure to verify first before calling),94,811,No,58
Dublin High School,"8151 Village Pkwy.Dublin, CA 94568","Dublin, CA 94568",Dublin Unified,(925) 833-3300(make sure to verify first before calling),92,"2,273",No,171
Dunsmore Elementary School,"4717 Dunsmore Ave.La Crescenta-Montrose, CA 91214","La Crescenta-Montrose, CA 91214",Glendale Unified,(818) 248-1758(make sure to verify first before calling),457,18.0,50,16
Duveneck Elementary School,"705 Alester Ave.Palo Alto, CA 94303","Palo Alto, CA 94303",Palo Alto Unified,(650) 322-5946(make sure to verify first before calling),479,24.5,25,4
Dwight D. Eisenhower Elementary School,"13221 Lilly St.Garden Grove, CA 92843","Garden Grove, CA 92843",Garden Grove Unified,(714) 663-6401(make sure to verify first before calling),22,778,No,602
Eagle Canyon Elementary School,"13435 Eagle Canyon Dr.Chino Hills, CA 91709","Chino Hills, CA 91709",Chino Valley Unified,(909) 590-2707(make sure to verify first before calling),84,567,No,157
Eagle Prairie Elementary School,"95 Center St.Rio Dell, CA 95562","Rio Dell, CA 95562",Rio Dell Elementary,(707) 764-5694(make sure to verify first before calling),9,219,No,150
Eagle Ranch Elementary School,"12545 Eagle Ranch Pkwy.Adelanto, CA 92301","Adelanto, CA 92301",Adelanto Elementary,(760) 949-2100(make sure to verify first before calling),9,808,No,595
Earl Warren Middle School,"155 Stevens St.Solana Beach, CA 92075","Solana Beach, CA 92075",San Dieguito Union High,(858) 755-1558(make sure to verify first before calling),595,25.6,50,20
Early College High School,"2990 Mesa Verde Dr.Costa Mesa, CA 92626","Costa Mesa, CA 92626",Newport-Mesa Unified,(714) 241-6108(make sure to verify first before calling),88,260,No,147
East Lake School,"13050 High Valley Rd.Clearlake Oaks, CA 95423","Clearlake Oaks, CA 95423",Konocti Unified,(707) 998-3387(make sure to verify first before calling),9,105,No,94
Eastlake Elementary School,"1955 Hillside Dr.Chula Vista, CA 91913","Chula Vista, CA 91913",Chula Vista Elementary,(619) 421-4798(make sure to verify first before calling),84,577,No,143
Eastbluff Elementary School,"2627 Vista del OroNewport Beach, CA 92660","Newport Beach, CA 92660",Newport-Mesa Unified,(949) 515-5920(make sure to verify first before calling),94,404,No,40
Easterbrook Discovery School,"4835 Doyle Rd.San Jose, CA 95129","San Jose, CA 95129",Moreland,(408) 874-3500(make sure to verify first before calling),90,"1,027",No,137
Eastlake Middle School,"900 Duncan Ranch Rd.Chula Vista, CA 91914","Chula Vista, CA 91914",Sweetwater Union High,(619) 591-4000(make sure to verify first before calling),83,"1,679",No,269
Eastshore Elementary School,"155 E.shoreIrvine, CA 92604","Irvine, CA 92604",Irvine Unified,(949) 936-5700(make sure to verify first before calling),92,621,No,69
Eastwood Elementary School,"15730 Pescados Dr.La Mirada, CA 90638","La Mirada, CA 90638",Norwalk-La Mirada Unified,(714) 521-6480(make sure to verify first before calling),476,16.0,153,17
Echo Valley Elementary School,"147 Echo Valley Rd.Salinas, CA 93907","Salinas, CA 93907",North Monterey County Unified,(831) 663-2308(make sure to verify first before calling),596,24.0,412,73
Edison Computech School,"555 E. BelgraviaFresno, CA 93706","Fresno, CA 93706",Fresno Unified,(559) 457-2640(make sure to verify first before calling),788,31.3,340,193
Edison Elementary School,"2700 Buena Vista Ave.Alameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 748-4002(make sure to verify first before calling),478,19.0,49,5
Edison High School,"21400 MagnoliaHuntington Beach, CA 92646","Huntington Beach, CA 92646",Huntington Beach Union High,(714) 962-1356(make sure to verify first before calling),90,"2,528",No,264
Edna Batey Elementary School,"9421 Stonebrook Dr.Elk Grove, CA 95624","Elk Grove, CA 95624",Elk Grove Unified,(916) 714-5520(make sure to verify first before calling),995,47.2,192,107
Edna Maguire Elementary School,"80 Lomita Dr.Mill Valley, CA 94941","Mill Valley, CA 94941",Mill Valley Elementary,(415) 389-7733(make sure to verify first before calling),573,25.5,15,4
Edward J. Richardson Middle School,"23751 Nancy Lee Ln.Torrance, CA 90505","Torrance, CA 90505",Torrance Unified,(310) 533-4790(make sure to verify first before calling),696,26.7,80,26
Edwin Rhodes Elementary School,"6655 Schaefer Ave.Chino, CA 91710","Chino, CA 91710",Chino Valley Unified,(909) 364-0683(make sure to verify first before calling),89,825,No,240
Eel River Community School,"2292 Newburg Rd.Fortuna, CA 95540","Fortuna, CA 95540",Humboldt County Office of Education,(707) 725-0209(make sure to verify first before calling),9,63,No,56
El Camino Creek Elementary School,"7885 Paseo AlisoCarlsbad, CA 92009","Carlsbad, CA 92009",Encinitas Union Elementary,(760) 943-2051(make sure to verify first before calling),89,643,No,15
El Carmelo Elementary School,"3024 Bryant St.Palo Alto, CA 94306","Palo Alto, CA 94306",Palo Alto Unified,(650) 856-0960(make sure to verify first before calling),395,19.1,35,10
El Dorado High School,"1651 N. Valencia Ave.Placentia, CA 92870","Placentia, CA 92870",Placentia-Yorba Linda Unified,(714) 986-7580(make sure to verify first before calling),"1,910",74.2,316,79
El Marino Elementary School,"11450 Port Rd.Culver City, CA 90230","Culver City, CA 90230",Culver City Unified,(310) 842-4241(make sure to verify first before calling),827,35.0,62,17
El Morro Elementary School,"8681 N. Coast Hwy.Laguna Beach, CA 92651","Laguna Beach, CA 92651",Laguna Beach Unified,(949) 497-7780(make sure to verify first before calling),93,558,No,79
El Oro Way Charter For Enriched Studies School,"12230 El Oro WayLos Angeles, CA 91344","Los Angeles, CA 91344",Los Angeles Unified,(818) 360-2288(make sure to verify first before calling),502,19.0,89,41
El Rancho Charter School,"181 S. Del Giorgio Rd.Anaheim, CA 92808","Anaheim, CA 92808",Orange Unified,(714) 997-6238(make sure to verify first before calling),89,"1,152",No,113
El Roble Intermediate School,"665 N. Mountain Ave.Claremont, CA 91711","Claremont, CA 91711",Claremont Unified,(909) 398-0343(make sure to verify first before calling),"1,093",45.4,338,74
El Rodeo Elementary School,"605 N. Whittier Dr.Beverly Hills, CA 90210","Beverly Hills, CA 90210",Beverly Hills Unified,(310) 229-3670(make sure to verify first before calling),684,40.1,33,7
El Segundo High School,"640 Main St.EL Segundo, CA 90245","EL Segundo, CA 90245",El Segundo Unified,(310) 615-2661(make sure to verify first before calling),"1,255",52.2,108,40
El Segundo Middle School,"332 Center St.EL Segundo, CA 90245","EL Segundo, CA 90245",El Segundo Unified,(310) 615-2690(make sure to verify first before calling),835,34.0,94,23
El Toro High School,"25255 Toledo WayLake Forest, CA 92630","Lake Forest, CA 92630",Saddleback Valley Unified,(949) 586-6333(make sure to verify first before calling),84,"2,518",No,473
Eleanor Murray Fallon School,"3601 Kohnen WayDublin, CA 94568","Dublin, CA 94568",Dublin Unified,(925) 875-9376(make sure to verify first before calling),98,"1,388",No,36
Elevate Elementary School,"2285 Murray Ridge Rd.San Diego, CA 92123","San Diego, CA 92123",San Diego Unified,(858) 751-4774(make sure to verify first before calling),96,214,No,34
Elise P. Buckingham Charter Magnet High School,"188-B Bella Vista Rd.Vacaville, CA 95687","Vacaville, CA 95687",Vacaville Unified,(707) 453-7300(make sure to verify first before calling),78,454,No,50
Elizabeth Pinkerton Middle School,"8365 Whitelock Pkwy.Elk Grove, CA 95757","Elk Grove, CA 95757",Elk Grove Unified,(916) 683-7680(make sure to verify first before calling),"1,084",49.3,238,121
Elliott (William F) Elementary School,"18415 Cortner Ave.Artesia, CA 90703","Artesia, CA 90703",ABC Unified,(562) 229-7850(make sure to verify first before calling),559,20.0,236,45
Elliott Ranch Elementary School,"10000 E. Taron Dr.Elk Grove, CA 95757","Elk Grove, CA 95757",Elk Grove Unified,(916) 683-3877(make sure to verify first before calling),926,41.0,111,75
Elsinore Elementary School,"512 W. Sumner Ave.Lake Elsinore, CA 92530","Lake Elsinore, CA 92530",Lake Elsinore Unified,(951) 253-7615(make sure to verify first before calling),597,26.0,531,48
Emblem Academy School,"22635 Espuella Dr.Santa Clarita, CA 91350","Santa Clarita, CA 91350",Saugus Union,(661) 294-5315(make sure to verify first before calling),90,695,No,67
Emerson Elementary School,"2800 Forest Ave.Berkeley, CA 94705","Berkeley, CA 94705",Berkeley Unified,(510) 644-6890(make sure to verify first before calling),305,14.8,108,18
Emerson Parkside Academy School,"2625 Josie Ave.Long Beach, CA 90815","Long Beach, CA 90815",Long Beach Unified,(562) 420-2631(make sure to verify first before calling),609,21.0,133,24
Emilie Ritchen Elementary School,"2200 Cabrillo WayOxnard, CA 93030","Oxnard, CA 93030",Oxnard,(805) 385-1572(make sure to verify first before calling),641,25.0,401,97
Emma C. Smith Elementary School,"391 Ontario Dr.Livermore, CA 94550","Livermore, CA 94550",Livermore Valley Joint Unified,(925) 606-4750(make sure to verify first before calling),90,735,No,68
Emma W. Shuey Elementary School,"8472 E. Wells St.Rosemead, CA 91770","Rosemead, CA 91770",Rosemead Elementary,(626) 287-5221(make sure to verify first before calling),80,516,No,290
Emperor Elementary School,"6415 Muscatel Ave.San Gabriel, CA 91775","San Gabriel, CA 91775",Temple City Unified,(626) 548-5084(make sure to verify first before calling),692,28.0,177,77
Empire Oaks Elementary School,"1830 Bonhill Dr.Folsom, CA 95630","Folsom, CA 95630",Folsom-Cordova Unified,(916) 294-9130(make sure to verify first before calling),94,540,No,26
Encinal Elementary School,"195 Encinal Ave.Atherton, CA 94027","Atherton, CA 94027",Menlo Park City Elementary,(650) 326-5164(make sure to verify first before calling),765,41.8,38,8
Encino Charter Elementary School,"16941 Addison St.Los Angeles, CA 91316","Los Angeles, CA 91316",Los Angeles Unified,(818) 784-1762(make sure to verify first before calling),96,554,No,87
Endeavour Of Exploration School,"12403 Ridgecrest Rd.Victorville, CA 92395","Victorville, CA 92395",Victor Elementary,(760) 843-7303(make sure to verify first before calling),81,732,No,287
Env Academy Of Research Tech And Earth Scis School,"2626 Michael Dr.Thousand Oaks, CA 91320","Thousand Oaks, CA 91320",Conejo Valley Unified,(805) 498-3686(make sure to verify first before calling),96,541,No,61
Ericson Elementary School,"4774 E. Yale Ave.Fresno, CA 93703","Fresno, CA 93703",Fresno Unified,(559) 253-6450(make sure to verify first before calling),768,31.0,599,134
Erle Stanley Gardner Middle School,"45125 Via Del CoronadoTemecula, CA 92592","Temecula, CA 92592",Temecula Valley Unified,(951) 699-0080(make sure to verify first before calling),"1,133",44.4,173,48
Ernest S. Mcbride Sr. High School,"7025 E. Parkcrest St.Long Beach, CA 90808","Long Beach, CA 90808",Long Beach Unified,(562) 425-3539(make sure to verify first before calling),565,23.1,168,57
Escondido Charter High School,"1868 E. Valley Pkwy.Escondido, CA 92027","Escondido, CA 92027",Escondido Union High,(760) 737-3154(make sure to verify first before calling),83,765,No,156
Escondido Elementary School,"890 Escondido Rd.Stanford, CA 94305","Stanford, CA 94305",Palo Alto Unified,(650) 856-1337(make sure to verify first before calling),550,27.8,66,29
Esperanza High School,"1830 N. Kellogg Dr.Anaheim, CA 92807","Anaheim, CA 92807",Placentia-Yorba Linda Unified,(714) 986-7540(make sure to verify first before calling),"1,732",72.8,250,91
Estrellita Continuation High School,"12935 Marengo Rd.Galt, CA 95632","Galt, CA 95632",Galt Joint Union High,(209) 745-2167(make sure to verify first before calling),9,127,No,82
